"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"16/12/2021","20,94","20,57","-0,72","20,45","21,09","98,81M"
"15/12/2021","20,48","20,72","0,44","20,06","20,95","162,20M"
"14/12/2021","20,83","20,63","-0,05","20,19","21,00","125,89M"
"13/12/2021","21,51","20,64","-3,64","20,50","21,81","158,08M"
"10/12/2021","21,16","21,42","3,18","21,01","21,62","154,34M"
"09/12/2021","21,15","20,76","-2,54","20,51","21,16","133,57M"
"08/12/2021","20,23","21,30","4,93","20,23","21,85","344,22M"
"07/12/2021","20,72","20,30","0,35","20,15","20,81","138,58M"
"06/12/2021","19,50","20,23","5,64","19,28","20,46","156,60M"
"03/12/2021","19,42","19,15","-1,08","18,89","20,01","186,88M"
"02/12/2021","18,51","19,36","5,79","18,28","19,50","181,30M"
"01/12/2021","19,80","18,30","-4,39","18,14","19,96","222,69M"
"30/11/2021","19,66","19,14","-3,09","18,72","19,71","214,07M"
"29/11/2021","19,83","19,75","2,49","19,45","20,16","150,67M"
"26/11/2021","19,99","19,27","-8,41","18,76","20,10","241,07M"
"25/11/2021","20,70","21,04","2,14","20,66","21,33","96,02M"
"24/11/2021","20,40","20,60","0,05","20,01","20,80","112,62M"
"23/11/2021","20,53","20,59","1,08","20,01","20,78","148,13M"
"22/11/2021","20,65","20,37","-1,69","20,28","21,08","198,90M"
"19/11/2021","20,97","20,72","-1,61","20,53","21,25","165,91M"
"18/11/2021","20,96","21,06","0,53","20,68","21,30","138,47M"
"17/11/2021","21,86","20,95","-2,56","20,56","21,95","365,66M"
"16/11/2021","22,51","21,50","-2,14","21,42","23,29","318,14M"
"12/11/2021","22,83","21,97","-4,44","21,05","23,11","408,29M"
"11/11/2021","23,00","22,99","1,55","22,75","23,67","201,16M"
"10/11/2021","23,26","22,64","-3,12","22,60","23,40","175,00M"
"09/11/2021","22,80","23,37","2,14","22,75","23,73","149,62M"
"08/11/2021","23,06","22,88","-1,00","22,53","23,50","184,51M"
"05/11/2021","22,41","23,11","6,45","22,06","23,18","252,98M"
"04/11/2021","22,23","21,71","-2,86","21,18","22,45","163,77M"
"03/11/2021","22,07","22,35","0,09","21,61","22,62","213,12M"
"01/11/2021","n/d","22,33","1,82","22,02","22,68","154,40M"
"29/10/2021","22,62","21,93","-1,97","21,69","22,70","173,40M"
"28/10/2021","22,22","22,37","-0,53","21,81","22,85","208,67M"
"27/10/2021","23,21","22,49","-2,93","22,36","23,40","150,38M"
"26/10/2021","23,91","23,17","-3,94","23,07","23,98","270,98M"
"25/10/2021","24,40","24,12","-0,54","23,92","24,86","185,37M"
"22/10/2021","23,83","24,25","0,50","23,12","24,59","355,64M"
"21/10/2021","24,20","24,13","-2,11","23,70","25,00","273,62M"
"20/10/2021","25,26","24,65","-1,16","24,46","25,45","140,88M"
"19/10/2021","25,70","24,94","-2,81","24,90","25,90","203,28M"
"18/10/2021","25,54","25,66","-0,08","25,07","26,08","145,67M"
"15/10/2021","26,20","25,68","-1,42","25,63","26,43","133,63M"
"14/10/2021","26,05","26,05","0,58","25,42","26,35","180,56M"
"13/10/2021","26,19","25,90","-0,23","25,76","26,60","269,27M"
"11/10/2021","25,21","25,96","4,89","24,82","26,31","348,64M"
"08/10/2021","24,26","24,75","2,74","24,04","25,14","246,29M"
"07/10/2021","23,54","24,09","3,04","23,28","24,40","226,04M"
"06/10/2021","22,71","23,38","1,83","21,51","23,54","366,71M"
"05/10/2021","24,14","22,96","-4,53","22,84","24,19","190,41M"